KEYS,en-US,ru-RU
reg.Aruba,Aruba,Аруба
reg.Afghanistan,Afghanistan,Афганистан
reg.Angola,Angola,Ангола
reg.Anguilla,Anguilla,Ангилья
reg.Albania,Albania,Албания
reg.Andorra,Andorra,Андорра
reg.United Arab Emirates,United Arab Emirates,Объединенные Арабские Эмираты
reg.Argentina,Argentina,Аргентина
reg.Armenia,Armenia,Армения
reg.American Samoa,American Samoa,Американское Самоа
reg.Antarctica,Antarctica,Антарктида
reg.Australia,Australia,Австралия
reg.Fr S and Antarctic Lands,Fr. S. and Antarctic Lands,Французские Южные и Антарктические земли
reg.Antigua and Barb,Antigua and Barb.,Антигуа и Барбуда
reg.Austria,Austria,Австрия
reg.Azerbaijan,Azerbaijan,Азербайджан
reg.Burundi,Burundi,Бурунди
reg.Belgium,Belgium,Бельгия
reg.Benin,Benin,Бенин
reg.Burkina Faso,Burkina Faso,Буркина-Фасо
reg.Bangladesh,Bangladesh,Бангладеш
reg.Bulgaria,Bulgaria,Болгария
reg.Bahrain,Bahrain,Бахрейн
reg.Bahamas,Bahamas,Багамские острова
reg.Bosnia and Herz,Bosnia and Herz.,Босния и Герцеговина
reg.St Barthelemy,St. Barthelemy,Сен-Бартелеми
reg.Belarus,Belarus,Беларусь
reg.Belize,Belize,Белиз
reg.Bermuda,Bermuda,Бермудские острова
reg.Bolivia,Bolivia,Боливия
reg.Brazil,Brazil,Бразилия
reg.Barbados,Barbados,Барбадос
reg.Brunei,Brunei,Бруней
reg.Bhutan,Bhutan,Бутан
reg.Botswana,Botswana,Ботсвана
reg.Central African Rep,Central African Rep.,Центрально-Африканская Республика
reg.Canada,Canada,Канада
reg.Switzerland,Switzerland,Швейцария
reg.Chile,Chile,Чили
reg.China,China,Китай
reg.Ivory Coast,Ivory Coast,берег Слоновой Кости
reg.Cameroon,Cameroon,Камерун
reg.Congo (Kinshasa),Congo (Kinshasa),Конго (Киншаса)
reg.Congo (Brazzaville),Congo (Brazzaville),Конго (Браззавиль)
reg.Cook Is,Cook Is.,Острова Кука
reg.Colombia,Colombia,Колумбия
reg.Comoros,Comoros,Коморские острова
reg.Cape Verde,Cape Verde,Кабо-Верде
reg.Costa Rica,Costa Rica,Коста-Рика
reg.Cuba,Cuba,Куба
reg.Curaçao,Curaçao,Кюрасао
reg.Cayman Is,Cayman Is.,Каймановы острова
reg.Cyprus,Cyprus,Кипр
reg.Czech Rep,Czech Rep.,Чехия
reg.Germany,Germany,Германия
reg.Djibouti,Djibouti,Джибути
reg.Dominica,Dominica,Доминика
reg.Denmark,Denmark,Дания
reg.Dominican Rep,Dominican Rep.,Доминиканская Республика
reg.Algeria,Algeria,Алжир
reg.Ecuador,Ecuador,Эквадор
reg.Egypt,Egypt,Египет
reg.Eritrea,Eritrea,Эритрея
reg.Spain,Spain,Испания
reg.Estonia,Estonia,Эстония
reg.Ethiopia,Ethiopia,Эфиопия
reg.Finland,Finland,Финляндия
reg.Fiji,Fiji,Фиджи
reg.Falkland Is,Falkland Is.,Фолклендские острова
reg.France,France,Франция
reg.Guadeloupe,Guadeloupe,Гваделупа
reg.Martinique,Martinique,Мартиника
reg.French Guiana,French Guiana,Французская Гвиана
reg.Reunion,Reunion,Реюньон
reg.Mayotte,Mayotte,Майотта
reg.Faroe Is,Faroe Is.,Фарерские острова
reg.Micronesia,Micronesia,Микронезия
reg.Gabon,Gabon,Габон
reg.West Bank,West Bank,Западный берег реки Иордан
reg.United Kingdom,United Kingdom,Великобритания
reg.Georgia,Georgia,Грузия
reg.Guernsey,Guernsey,Гернси
reg.Ghana,Ghana,Гана
reg.Guinea,Guinea,Гвинея
reg.Gambia,Gambia,Гамбия
reg.Guinea Bissau,Guinea Bissau,Гвинея-Бисау
reg.Eq Guinea,Eq. Guinea,Экваториальная Гвинея
reg.Greece,Greece,Греция
reg.Grenada,Grenada,Гренада
reg.Greenland,Greenland,Гренландия
reg.Guatemala,Guatemala,Гватемала
reg.Guam,Guam,Гуам
reg.Guyana,Guyana,Гайана
